,Margin
2025-06-14,95.0
2025-06-15,96.3532574
2025-06-16,95.98985612
2025-06-17,93.39836625
2025-06-19,93.55629205
2025-06-20,93.39883515
2025-06-21,93.89844326
2025-06-23,93.30615232
2025-06-24,93.92970441
2025-06-25,93.75394309
2025-06-26,94.70068545
2025-06-30,94.32048099
2025-07-01,93.82322879
2025-07-02,95.33536383
2025-07-03,94.61635944
2025-07-04,95.60418972
2025-07-05,95.89342337
2025-07-07,94.95944372
2025-07-09,95.15785008
2025-07-10,96.90745066
2025-07-11,98.61232239
2025-07-12,99.41981675
2025-07-13,99.27345885
2025-07-14,97.75546378
2025-07-15,98.89311485
2025-07-17,98.56211196
