timestamp,ETH,UNI
2023-06-15,1665.64,4.423
2023-06-16,1717.31,4.551
2023-06-17,1727.2,4.526
2023-06-18,1719.99,4.479
2023-06-19,1736.21,4.479
2023-06-20,1791.37,4.571
2023-06-21,1888.31,4.767
2023-06-22,1871.36,4.723
2023-06-23,1892.2,4.86
2023-06-24,1874.48,4.73
2023-06-25,1898.27,5.422
2023-06-26,1858.14,5.267
2023-06-27,1889.05,5.279
2023-06-28,1827.26,4.83
2023-06-29,1851.19,4.92
2023-06-30,1933.41,5.268
2023-07-01,1924.08,5.587
2023-07-02,1937.69,5.566
2023-07-03,1955.0,5.521
2023-07-04,1935.72,5.503
2023-07-05,1909.88,5.406
2023-07-06,1844.82,5.26
2023-07-07,1870.0,5.476
2023-07-08,1864.45,5.246
2023-07-09,1861.81,5.225
2023-07-10,1879.34,5.234
2023-07-11,1877.66,5.259
2023-07-12,1870.81,5.272
2023-07-13,2004.78,5.873
2023-07-14,1936.74,5.87
2023-07-15,1930.4,5.812
2023-07-16,1920.97,5.718
2023-07-17,1910.37,5.908
2023-07-18,1896.46,5.906
2023-07-19,1887.55,5.871
2023-07-20,1890.56,6.013
2023-07-21,1890.84,6.201
2023-07-22,1865.6,5.988
2023-07-23,1887.86,6.134
2023-07-24,1849.04,5.776
2023-07-25,1856.91,5.788
2023-07-26,1870.98,5.84
2023-07-27,1860.28,5.87
2023-07-28,1873.39,6.008
2023-07-29,1879.85,6.321
2023-07-30,1860.76,6.414
2023-07-31,1855.39,6.524
2023-08-01,1873.05,6.683
2023-08-02,1839.07,6.152
2023-08-03,1834.69,6.095
2023-08-04,1829.4,6.068
2023-08-05,1835.5,6.089
2023-08-06,1829.38,5.953
2023-08-07,1828.18,5.871
2023-08-08,1855.36,6.079
2023-08-09,1854.7,6.247
2023-08-10,1851.42,6.19
2023-08-11,1848.04,6.201
2023-08-12,1849.14,6.222
2023-08-13,1840.09,6.083
2023-08-14,1844.81,6.26
2023-08-15,1828.28,5.95
2023-08-16,1807.19,5.456
2023-08-17,1681.0,4.985
2023-08-18,1660.76,4.903
2023-08-19,1668.69,4.906
2023-08-20,1684.16,4.899
2023-08-21,1666.79,4.76
2023-08-22,1634.5,4.667
2023-08-23,1678.8,4.761
2023-08-24,1660.22,4.658
2023-08-25,1653.24,4.549
2023-08-26,1646.28,4.598
2023-08-27,1657.59,4.682
2023-08-28,1652.51,4.669
2023-08-29,1728.51,4.797
