timestamp,ETH,ARB
2024-01-01,2354.62,1.7363
2024-01-02,2356.93,1.7719
2024-01-03,2210.39,1.9142
2024-01-04,2267.85,2.0052
2024-01-05,2268.93,1.9515
2024-01-06,2240.36,1.7516
2024-01-07,2220.87,1.7209
2024-01-08,2331.11,1.8213
2024-01-09,2344.44,1.8436
2024-01-10,2585.82,2.2294
2024-01-11,2618.59,2.259
2024-01-12,2523.3,2.204
2024-01-13,2578.5,2.1764
2024-01-14,2474.36,2.0313
2024-01-15,2512.21,2.1102
2024-01-16,2587.4,2.1517
2024-01-17,2530.62,2.0388
2024-01-18,2471.29,1.8924
2024-01-19,2492.46,1.8565
2024-01-20,2472.27,1.8167
2024-01-21,2457.02,1.8163
2024-01-22,2314.33,1.6895
2024-01-23,2241.67,1.6898
2024-01-24,2234.62,1.7375
2024-01-25,2218.02,1.7315
2024-01-26,2266.72,1.8167
2024-01-27,2266.99,1.7963
2024-01-28,2256.0,1.7983
2024-01-29,2316.52,1.8542
2024-01-30,2341.95,1.8846
2024-01-31,2282.0,1.7623
2024-02-01,2303.33,1.784
2024-02-02,2307.99,1.7917
2024-02-03,2295.42,1.7653
2024-02-04,2288.66,1.7312
2024-02-05,2300.83,1.7344
2024-02-06,2371.74,1.83
2024-02-07,2424.22,1.8985
2024-02-08,2418.76,1.8616
2024-02-09,2485.24,1.9813
2024-02-10,2499.2,1.96
2024-02-11,2506.1,1.9424
2024-02-12,2660.91,2.0778
2024-02-13,2640.83,2.0474
2024-02-14,2776.14,2.1118
2024-02-15,2824.54,2.0736
2024-02-16,2803.69,2.0117
2024-02-17,2787.43,1.971
2024-02-18,2883.58,2.0411
2024-02-19,2946.55,2.0555
2024-02-20,3017.21,2.0118
2024-02-21,2969.65,1.8781
2024-02-22,2972.8,1.8097
2024-02-23,2923.35,1.8002
2024-02-24,2994.39,1.846
2024-02-25,3115.24,1.9067
2024-02-26,3178.6,1.9302
2024-02-27,3244.98,1.8983
2024-02-28,3387.07,1.9018
2024-02-29,3343.15,1.9463
2024-03-01,3435.82,1.9904
2024-03-02,3424.43,2.0286
2024-03-03,3491.77,2.0468
2024-03-04,3629.72,1.9844
2024-03-05,3555.43,1.9669
2024-03-06,3822.36,2.0563
2024-03-07,3871.69,2.1672
2024-03-08,3886.04,2.1359
2024-03-09,3908.15,2.0991
2024-03-10,3881.22,2.0697
2024-03-11,4070.52,2.0862
2024-03-12,3984.18,2.0195
2024-03-13,4008.76,2.1175
2024-03-14,3884.99,2.0176
2024-03-15,3745.0,1.89
2024-03-16,3525.58,1.7577
2024-03-17,3646.99,1.7376
2024-03-18,3523.43,1.6249
2024-03-19,3161.0,1.626
2024-03-20,3517.8,1.7474
2024-03-21,3495.16,1.6855
