timestamp,ETH,OP
2024-01-01,2354.62,3.9948
2024-01-02,2356.93,3.7158
2024-01-03,2210.39,3.4744
2024-01-04,2267.85,3.7169
2024-01-05,2268.93,3.4435
2024-01-06,2240.36,3.226
2024-01-07,2220.87,3.1696
2024-01-08,2331.11,3.4161
2024-01-09,2344.44,3.641
2024-01-10,2585.82,3.9317
2024-01-11,2618.59,3.9682
2024-01-12,2523.3,3.915
2024-01-13,2578.5,3.8069
2024-01-14,2474.36,3.4799
2024-01-15,2512.21,3.4521
2024-01-16,2587.4,3.6028
2024-01-17,2530.62,3.4581
2024-01-18,2471.29,3.2165
2024-01-19,2492.46,3.2051
2024-01-20,2472.27,3.1966
2024-01-21,2457.02,3.1204
2024-01-22,2314.33,2.982
2024-01-23,2241.67,2.8198
2024-01-24,2234.62,2.858
2024-01-25,2218.02,2.9356
2024-01-26,2266.72,3.0694
2024-01-27,2266.99,3.0682
2024-01-28,2256.0,3.0277
2024-01-29,2316.52,3.1669
2024-01-30,2341.95,3.1559
2024-01-31,2282.0,2.8986
2024-02-01,2303.33,2.9744
2024-02-02,2307.99,3.0134
2024-02-03,2295.42,2.9605
2024-02-04,2288.66,2.9937
2024-02-05,2300.83,3.0969
2024-02-06,2371.74,3.3248
2024-02-07,2424.22,3.3631
2024-02-08,2418.76,3.3021
2024-02-09,2485.24,3.4619
2024-02-10,2499.2,3.3647
2024-02-11,2506.1,3.5366
2024-02-12,2660.91,3.8206
2024-02-13,2640.83,3.7316
2024-02-14,2776.14,3.8224
2024-02-15,2824.54,3.8624
2024-02-16,2803.69,3.6425
2024-02-17,2787.43,3.5823
2024-02-18,2883.58,3.7965
2024-02-19,2946.55,3.9634
2024-02-20,3017.21,4.0702
2024-02-21,2969.65,3.7651
2024-02-22,2972.8,3.6405
2024-02-23,2923.35,3.5102
2024-02-24,2994.39,3.6722
2024-02-25,3115.24,3.8859
2024-02-26,3178.6,3.8288
2024-02-27,3244.98,3.7083
2024-02-28,3387.07,3.7703
2024-02-29,3343.15,3.7035
2024-03-01,3435.82,3.7601
2024-03-02,3424.43,3.993
2024-03-03,3491.77,3.9918
2024-03-04,3629.72,3.9134
2024-03-05,3555.43,4.5172
2024-03-06,3822.36,4.5493
2024-03-07,3871.69,4.6672
2024-03-08,3886.04,4.4885
2024-03-09,3908.15,4.7017
2024-03-10,3881.22,4.5413
2024-03-11,4070.52,4.5911
2024-03-12,3984.18,4.3661
2024-03-13,4008.76,4.4195
2024-03-14,3884.99,4.2085
2024-03-15,3745.0,3.8236
2024-03-16,3525.58,3.5565
2024-03-17,3646.99,3.5842
2024-03-18,3523.43,3.3053
2024-03-19,3161.0,3.4432
2024-03-20,3517.8,3.5508
2024-03-21,3495.16,3.4299
2024-03-22,3339.0,3.4284
2024-03-23,3330.96,3.4305
2024-03-24,3457.16,3.7099
2024-03-25,3592.94,3.8615
2024-03-26,3589.64,3.9188
2024-03-27,3504.99,3.674
2024-03-28,3563.99,3.7291
2024-03-29,3512.46,3.6199
2024-03-30,3508.66,3.6598
2024-03-31,3648.79,3.6927
2024-04-01,3506.52,3.4987
2024-04-02,3280.76,3.157
2024-04-03,3313.29,3.0543
2024-04-04,3329.65,3.1069
2024-04-05,3319.66,2.8748
2024-04-06,3353.15,2.994
2024-04-07,3455.99,3.1969
2024-04-08,3697.6,3.3679
2024-04-09,3508.45,3.0467
2024-04-10,3547.64,3.0378
2024-04-11,3504.43,2.942
2024-04-12,3238.3,2.4478
2024-04-13,3005.46,2.1152
2024-04-14,3153.16,2.3301
2024-04-15,3100.75,2.2655
2024-04-16,3082.85,2.2407
2024-04-17,2983.25,2.1634
2024-04-18,3062.85,2.2244
2024-04-19,3054.91,2.2312
2024-04-20,3154.31,2.5046
2024-04-21,3145.73,2.4426
2024-04-22,3198.66,2.5486
